"identifier"	"chemical_formula"	"description"	"mass_to_charge"	"fragmentation"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"modifications"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"Ex1-Col0-48h-Ag-1"	"Ex1-Col0-48h-Ag-2"	"Ex1-Col0-48h-Ag-3"	"Ex1-Col0-48h-Ag-4"	"Ex1-cyp79-48h-Ag-1"	"Ex1-cyp79-48h-Ag-2"	"Ex1-cyp79-48h-Ag-3"	"Ex1-cyp79-48h-Ag-4"	"Ex2-Col0-48h-Ag-1"	"Ex2-Col0-48h-Ag-2"	"Ex2-Col0-48h-Ag-3"	"Ex2-Col0-48h-Ag-4"	"Ex2-cyp79-48h-Ag-1"	"Ex2-cyp79-48h-Ag-2"	"Ex2-cyp79-48h-Ag-3"	"Ex2-cyp79-48h-Ag-4"
""	""	""	"130.1"	""	""	"520.8"	""	""	""	""	""	""	""	""	""	""	""	""	"  5448.1"	"  4858.6"	"  4358.9"	"  4018.0"	"     0.0"	"     0.0"	"     0.0"	"     0.0"	"  5280.9"	"   5546.4"	"   5210.1"	"  5172.4"	"     0.0"	"     0.0"	"     0.0"	"     0.0"
""	""	""	"151.1"	""	""	"504.6"	""	""	""	""	""	""	""	""	""	""	""	""	"  1095.0"	"  2227.6"	"  1410.6"	"  1926.4"	"  5272.1"	"  5094.0"	"  4298.9"	"  4695.6"	"  2267.9"	"   1824.8"	"   1380.9"	"  1670.8"	"  1585.0"	"  2140.9"	"  2053.6"	"  1466.4"
""	""	""	"155.1"	""	""	"519.8"	""	""	""	""	""	""	""	""	""	""	""	""	" 16476.3"	" 15709.2"	" 17561.1"	" 17338.8"	"     0.0"	"     0.0"	"     0.0"	"     0.0"	" 13065.2"	"  18314.6"	"  17195.5"	" 13042.6"	"     0.0"	"     0.0"	"     0.0"	"     0.0"
""	""	""	"161.1"	""	""	"495.0"	""	""	""	""	""	""	""	""	""	""	""	""	"  2322.8"	"  2345.4"	"  2507.3"	"  1760.2"	"  2851.6"	"  3526.2"	"  4125.2"	"  3489.8"	"  3156.7"	"   4397.3"	"   4173.6"	"  3295.9"	"  5203.8"	"  6181.4"	"  5992.0"	"  6795.7"
""	""	""	"164.1"	""	""	"498.2"	""	""	""	""	""	""	""	""	""	""	""	""	"  1700.6"	"  3470.2"	"  3465.9"	"  3233.2"	"  6341.3"	"  4226.2"	"  5643.3"	"  3919.7"	"  2924.7"	"   3120.7"	"   2238.9"	"  2881.5"	"  7594.2"	"  6537.2"	"  8507.0"	"  6880.9"
""	""	""	"171.1"	""	""	"472.4"	""	""	""	""	""	""	""	""	""	""	""	""	"     0.0"	"     0.0"	"     0.0"	"     0.0"	"     0.0"	"     0.0"	"     0.0"	"     0.0"	"  6732.0"	"   7021.2"	"   6956.2"	"  6713.7"	"  4678.6"	"  5037.6"	"  5013.2"	"  5072.1"
""	""	""	"176.1"	""	""	"478.2"	""	""	""	""	""	""	""	""	""	""	""	""	" 58416.4"	" 62308.9"	" 62264.6"	" 61879.4"	" 20326.4"	" 18120.3"	" 21343.9"	" 17768.3"	" 40841.0"	"  45318.3"	"  42124.2"	" 40540.9"	" 21090.5"	" 21316.7"	" 22972.4"	" 22246.5"
""	""	""	"177.1"	""	""	"478.4"	""	""	""	""	""	""	""	""	""	""	""	""	"  6197.3"	"  6548.3"	"  6132.2"	"  7337.1"	"   573.7"	"   971.6"	"  1342.0"	"  1673.8"	"  3979.0"	"   4253.6"	"   3783.7"	"  3800.5"	"  2009.4"	"  1252.6"	"  1253.3"	"  1471.7"
""	""	""	"179.1"	""	""	"494.9"	""	""	""	""	""	""	""	""	""	""	""	""	"  2035.1"	"  4001.5"	"  4927.1"	"  3365.8"	"  3962.8"	"  6360.5"	"  3914.0"	"  5770.7"	"  6256.2"	"   5972.1"	"   4206.9"	"  5588.4"	"  7787.7"	"  8993.9"	"  7097.4"	"  8517.4"
""	""	""	"182.1"	""	" 1"	"498.2"	""	""	""	""	""	""	""	""	""	""	""	""	" 27960.8"	" 27040.7"	" 28215.1"	" 25877.7"	" 53370.3"	" 38131.3"	" 55186.2"	" 36717.0"	" 25782.1"	"  26320.7"	"  24975.7"	" 23592.6"	" 62718.6"	" 57343.5"	" 65304.0"	" 56680.9"
