"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type]"	"Parameter Value[Chromatogram Name]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Protocol REF"	"Data Transformation Name"	"Derived Spectral Data File"	"Metabolite Assignment File"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"
"Ex1-Col0-48h-Ag-1"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex1-Col0-48h-Ag-1"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	1001765	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	1000073	"time-of-flight"	"MS"	1000084	"Ex1-Col0-48h-Ag-1_1-A,1_01_9818 "	"mzML/MSpos-Ex1-Col0-48h-Ag-1_1-A,1_01_9818.mzML"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite_profiling_mass_spectrometry_maf.csv"	"Col-0"	""	""	"Exp1"	""	""
"Ex1-Col0-48h-Ag-2"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex1-Col0-48h-Ag-2"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	1001765	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	1000073	"time-of-flight"	"MS"	1000084	"Ex1-Col0-48h-Ag-2_1-A,1_01_9820 "	"mzML/MSpos-Ex1-Col0-48h-Ag-2_1-A,1_01_9820.mzML"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite_profiling_mass_spectrometry_maf.csv"	"Col-0"	""	""	"Exp1"	""	""
"Ex1-Col0-48h-Ag-3"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex1-Col0-48h-Ag-3"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	1001765	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	1000073	"time-of-flight"	"MS"	1000084	"Ex1-Col0-48h-Ag-3_1-A,1_01_9822 "	"mzML/MSpos-Ex1-Col0-48h-Ag-3_1-A,1_01_9822.mzML"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite_profiling_mass_spectrometry_maf.csv"	"Col-0"	""	""	"Exp1"	""	""
"Ex1-Col0-48h-Ag-4"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex1-Col0-48h-Ag-4"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	1001765	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	1000073	"time-of-flight"	"MS"	1000084	"Ex1-Col0-48h-Ag-4_1-A,1_01_9824 "	"mzML/MSpos-Ex1-Col0-48h-Ag-4_1-A,1_01_9824.mzML"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite_profiling_mass_spectrometry_maf.csv"	"Col-0"	""	""	"Exp1"	""	""
"Ex1-cyp79-48h-Ag-1"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex1-cyp79-48h-Ag-1"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	1001765	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	1000073	"time-of-flight"	"MS"	1000084	"Ex1-cyp79-48h-Ag-1_1-B,1_01_9819"	"mzML/MSpos-Ex1-cyp79-48h-Ag-1_1-B,1_01_9819.mzML"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite_profiling_mass_spectrometry_maf.csv"	"cyp79"	""	""	"Exp1"	""	""
"Ex1-cyp79-48h-Ag-2"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex1-cyp79-48h-Ag-2"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	1001765	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	1000073	"time-of-flight"	"MS"	1000084	"Ex1-cyp79-48h-Ag-2_1-B,2_01_9821"	"mzML/MSpos-Ex1-cyp79-48h-Ag-2_1-B,2_01_9821.mzML"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite_profiling_mass_spectrometry_maf.csv"	"cyp79"	""	""	"Exp1"	""	""
"Ex1-cyp79-48h-Ag-3"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex1-cyp79-48h-Ag-3"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	1001765	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	1000073	"time-of-flight"	"MS"	1000084	"Ex1-cyp79-48h-Ag-3_1-B,1_01_9823"	"mzML/MSpos-Ex1-cyp79-48h-Ag-3_1-B,1_01_9823.mzML"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite_profiling_mass_spectrometry_maf.csv"	"cyp79"	""	""	"Exp1"	""	""
"Ex1-cyp79-48h-Ag-4"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex1-cyp79-48h-Ag-4"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	1001765	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	1000073	"time-of-flight"	"MS"	1000084	"Ex1-cyp79-48h-Ag-4_1-B,2_01_9825"	"mzML/MSpos-Ex1-cyp79-48h-Ag-4_1-B,2_01_9825.mzML"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite_profiling_mass_spectrometry_maf.csv"	"cyp79"	""	""	"Exp1"	""	""
"Ex2-Col0-48h-Ag-1"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex2-Col0-48h-Ag-1"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	1001765	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	1000073	"time-of-flight"	"MS"	1000084	"Ex2-Col0-48h-Ag-1_1-A,2_01_9827 "	"mzML/MSpos-Ex2-Col0-48h-Ag-1_1-A,2_01_9827.mzML"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite_profiling_mass_spectrometry_maf.csv"	"Col-0"	""	""	"Exp2"	""	""
"Ex2-Col0-48h-Ag-2"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex2-Col0-48h-Ag-2"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	1001765	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	1000073	"time-of-flight"	"MS"	1000084	"Ex2-Col0-48h-Ag-2_1-A,3_01_9829 "	"mzML/MSpos-Ex2-Col0-48h-Ag-2_1-A,3_01_9829.mzML"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite_profiling_mass_spectrometry_maf.csv"	"Col-0"	""	""	"Exp2"	""	""
