"identifier"	"chemical_formula"	"description"	"mass_to_charge"	"fragmentation"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"modifications"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"Ex1-Col0-48h-Ag-1"	"Ex1-Col0-48h-Ag-2"	"Ex1-Col0-48h-Ag-3"	"Ex1-Col0-48h-Ag-4"	"Ex1-cyp79-48h-Ag-1"	"Ex1-cyp79-48h-Ag-2"	"Ex1-cyp79-48h-Ag-3"	"Ex1-cyp79-48h-Ag-4"	"Ex2-Col0-48h-Ag-1"	"Ex2-Col0-48h-Ag-2"	"Ex2-Col0-48h-Ag-3"	"Ex2-Col0-48h-Ag-4"	"Ex2-cyp79-48h-Ag-1"	"Ex2-cyp79-48h-Ag-2"	"Ex2-cyp79-48h-Ag-3"	"Ex2-cyp79-48h-Ag-4"
""	""	""	"  99.52934"	""	""	"  21.38202"	""	""	""	""	""	""	""	""	""	""	""	""	"   4899.5465"	"   5065.3935"	"   4436.7808"	"   4573.6211"	"   4915.7077"	"   3640.2634"	"   4303.6011"	"   4623.7955"	"   4288.7056"	"   6475.8955"	"   5549.0043"	"   4371.9496"	"   4981.6994"	"   4692.1001"	"   5193.1004"	"   4267.9656"
""	""	""	" 100.07339"	""	""	"  40.25202"	""	""	""	""	""	""	""	""	""	""	""	""	"    541.9080"	"   1182.4974"	"    785.5258"	"    591.1867"	"   3434.9364"	"   4023.4344"	"   3321.5019"	"   3725.7234"	"    204.0414"	"    326.0205"	"    585.5248"	"    342.4259"	"   3103.3933"	"   3477.5576"	"   3523.8726"	"   4136.6370"
""	""	""	" 103.05573"	""	""	"  58.43502"	""	""	""	""	""	""	""	""	""	""	""	""	"  20130.9140"	"  20452.4463"	"  19663.9032"	"  19955.1256"	"  29462.1928"	"  29281.8100"	"  32144.0559"	"  28147.4466"	"  21780.0047"	"  23607.4441"	"  22678.6533"	"  20809.5285"	"  44533.2888"	"  46882.5434"	"  44639.9806"	"  43099.8233"
""	""	""	" 103.05585"	""	""	" 243.96120"	""	""	""	""	""	""	""	""	""	""	""	""	"      0.0000"	"    793.1710"	"   1404.3623"	"   1078.8509"	"   2398.2351"	"   1860.7567"	"   1767.0997"	"   1846.9486"	"   1713.4734"	"   1492.0771"	"   1681.5425"	"   1405.2467"	"   1933.6185"	"   2192.2036"	"   1935.4583"	"   1855.8292"
""	""	""	" 104.10535"	""	""	"  27.19752"	""	""	""	""	""	""	""	""	""	""	""	""	" 258053.6118"	" 257003.9718"	" 241653.7215"	" 247250.1309"	" 186213.3520"	" 245296.2625"	" 243926.3909"	" 235836.7471"	" 244903.8682"	" 254791.8076"	" 226002.2527"	" 211967.9610"	" 197401.8774"	" 241633.2039"	" 250985.3808"	" 235762.6561"
""	""	""	" 105.03149"	""	""	" 394.59510"	""	""	""	""	""	""	""	""	""	""	""	""	"   5485.2175"	"   5261.0433"	"   5498.3894"	"   4273.2183"	"   6036.4882"	"   5075.0897"	"   5256.1008"	"   5436.7121"	"  12461.6301"	"  12369.1642"	"  13575.0334"	"  13190.9495"	"  13155.7448"	"  12315.0920"	"  11511.2546"	"  11351.9112"
""	""	""	" 107.06882"	""	""	" 358.49310"	""	""	""	""	""	""	""	""	""	""	""	""	"      0.0000"	"    358.2175"	"      0.0000"	"      0.0000"	"      0.0000"	"      0.0000"	"    141.1454"	"    424.6890"	"   5821.6057"	"   5822.5757"	"   5393.5787"	"   4301.2447"	"   6384.8174"	"   6788.2336"	"   7464.9003"	"   7304.7736"
""	""	""	" 109.06389"	""	""	" 353.48400"	""	""	""	""	""	""	""	""	""	""	""	""	"   3320.2883"	"   3027.8739"	"   3274.4973"	"   3100.4173"	"   4019.6522"	"   4387.5251"	"   4219.8825"	"   3997.2111"	"   4585.9183"	"   4035.3552"	"   3431.8101"	"   3650.8112"	"   5285.2898"	"   5247.0129"	"   4599.6390"	"   4525.2465"
""	""	""	" 110.00891"	""	""	"  21.38601"	""	""	""	""	""	""	""	""	""	""	""	""	"  29130.0476"	"  33784.7234"	"  30778.2500"	"  33548.1546"	"  33578.1305"	"  38277.3085"	"  36090.6918"	"  39585.2433"	"  39823.4163"	"  42510.8332"	"  41488.1742"	"  40400.5710"	"  40685.6966"	"  37729.7952"	"  36865.7104"	"  36136.7739"
""	""	""	" 111.01058"	""	""	"  21.16302"	""	""	""	""	""	""	""	""	""	""	""	""	"   3506.6504"	"   4514.6776"	"   4887.3048"	"   4651.1910"	"   4808.9229"	"   5379.6086"	"   5350.7350"	"   5914.0004"	"   6421.7656"	"   5648.6481"	"   6845.7616"	"   5690.7599"	"   4403.9837"	"   6325.4384"	"   5579.8857"	"   5510.6894"
""	""	""	" 111.04286"	""	""	"1085.80500"	""	""	""	""	""	""	""	""	""	""	""	""	"  33269.4692"	"  34297.4986"	"  37129.8424"	"  57990.2240"	"  33794.6000"	"  56089.3248"	"  56995.2537"	"  37143.9989"	"  35733.3650"	"  59130.6838"	"  57277.8920"	"  33408.9676"	"  33728.9500"	"  53947.9210"	"  57193.8224"	"  56975.0599"
""	""	""	" 111.11689"	""	""	" 378.23940"	""	""	""	""	""	""	""	""	""	""	""	""	"      0.0000"	"    277.4243"	"    314.5712"	"    145.1854"	"      0.0000"	"      0.0000"	"    577.2752"	"    316.6457"	"   5109.9296"	"   4726.3011"	"   4616.1831"	"   5034.8601"	"   5279.3951"	"   6045.3711"	"   5508.7008"	"   5497.3208"
""	""	""	" 112.00696"	""	""	"  20.79300"	""	""	""	""	""	""	""	""	""	""	""	""	"   3846.3729"	"   4769.2465"	"   3848.0564"	"   4508.6253"	"   4911.6193"	"   4693.4306"	"   1667.0116"	"   5741.5100"	"   2253.6355"	"   2829.3327"	"   2163.2481"	"   5889.2808"	"   5724.7596"	"   3028.2106"	"   5277.3152"	"   3026.3821"
""	""	""	" 112.89590"	""	""	"  24.08802"	""	""	""	""	""	""	""	""	""	""	""	""	"  17916.6432"	"  17987.4237"	"  17049.6533"	"  18126.6298"	"  19715.4351"	"  20476.8610"	"  20445.6594"	"  20489.9624"	"  13060.8884"	"  14309.4027"	"  13336.6928"	"  14526.0668"	"  20148.0227"	"  18762.5101"	"  18670.3348"	"  17036.6899"
""	""	""	" 114.03737"	""	""	" 342.22830"	""	""	""	""	""	""	""	""	""	""	""	""	"  12651.9613"	"  12198.8960"	"  12293.2344"	"  13154.9160"	"  18542.0576"	"  26328.6906"	"  19326.4079"	"  24669.2663"	"  16740.6895"	"  12516.1491"	"  10046.8809"	"  14657.0677"	"   7751.6428"	"   8674.6363"	"   7745.2731"	"   7938.8151"
""	""	""	" 114.10278"	""	""	"  22.06302"	""	""	""	""	""	""	""	""	""	""	""	""	"  33013.5709"	"  36109.1250"	"  36044.8555"	"  34553.0565"	"  20400.2773"	"  20752.8811"	"  20246.8145"	"  21349.1488"	"  33752.7557"	"  33552.3436"	"  33457.7290"	"  34091.0744"	"  27679.4890"	"  25156.0318"	"  28006.5050"	"  24978.2313"
""	""	""	" 114.09161"	""	" 1"	" 163.21080"	""	""	""	""	""	""	""	""	""	""	""	""	"  12266.5219"	"  12113.8112"	"  11651.1885"	"  12625.2235"	"  12431.7998"	"  12851.7270"	"  11964.0725"	"  14079.8555"	" 607334.7718"	" 615510.9765"	" 656768.4151"	" 609962.0516"	" 638623.2227"	" 724423.6718"	" 665409.5813"	" 694999.9957"
""	""	""	" 114.98736"	""	""	"  22.05750"	""	""	""	""	""	""	""	""	""	""	""	""	"   8944.7498"	"   2632.0861"	"   2254.5566"	"   7401.4251"	"   2757.7815"	"   1591.9040"	"   2656.9602"	"   2605.9605"	"   2424.9582"	"   6044.8626"	"   2756.4346"	"   2900.7056"	"   8884.1695"	"   3185.4459"	"   3277.4019"	"   1848.1573"
