"identifier"	"chemical_formula"	"description"	"mass_to_charge"	"fragmentation"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"modifications"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"Ex1-Col0-48h-Ag-1"	"Ex1-Col0-48h-Ag-2"	"Ex1-Col0-48h-Ag-3"	"Ex1-Col0-48h-Ag-4"	"Ex1-cyp79-48h-Ag-1"	"Ex1-cyp79-48h-Ag-2"	"Ex1-cyp79-48h-Ag-3"	"Ex1-cyp79-48h-Ag-4"	"Ex2-Col0-48h-Ag-1"	"Ex2-Col0-48h-Ag-2"	"Ex2-Col0-48h-Ag-3"	"Ex2-Col0-48h-Ag-4"	"Ex2-cyp79-48h-Ag-1"	"Ex2-cyp79-48h-Ag-2"	"Ex2-cyp79-48h-Ag-3"	"Ex2-cyp79-48h-Ag-4"
""	""	""	"  99.5294"	""	""	" 21.38601"	""	""	""	""	""	""	""	""	""	""	""	""	"   4899.5465"	"   5065.3935"	"   4436.7808"	"   4573.6211"	"   4915.7077"	"   3640.2634"	"   4303.6011"	"   4623.7955"	"   4288.7056"	"   6475.8955"	"   5549.0043"	"   4371.9496"	"   4981.6994"	"   4271.3370"	"   5193.1004"	"   4267.9656"
""	""	""	" 100.0735"	""	""	" 40.40400"	""	""	""	""	""	""	""	""	""	""	""	""	"    541.9405"	"   1182.2733"	"    785.3769"	"    591.2487"	"   3434.9364"	"   4023.4344"	"   3321.5019"	"   3732.1133"	"    204.0589"	"    326.0205"	"    585.5656"	"    342.4498"	"   3103.3933"	"   3477.5576"	"   3523.8726"	"   4136.6370"
""	""	""	" 103.0557"	""	""	" 58.43352"	""	""	""	""	""	""	""	""	""	""	""	""	"  20130.9140"	"  20452.4463"	"  19663.9032"	"  19955.1256"	"  29462.1928"	"  29281.8100"	"  32144.0559"	"  28009.3996"	"  21780.0047"	"  23607.4441"	"  22678.6533"	"  20809.5285"	"  44533.2888"	"  46882.5434"	"  44639.9806"	"  43099.8233"
""	""	""	" 103.0523"	""	""	" 74.23380"	""	""	""	""	""	""	""	""	""	""	""	""	"   8692.2062"	"  13491.8477"	"  11088.5040"	"  10680.8724"	"  32176.1257"	"  30189.1412"	"  29491.4429"	"  30277.7202"	"   8361.8554"	"   9498.7182"	"   9799.5865"	"   8565.2309"	"  22730.9617"	"  22984.4549"	"  24462.3173"	"  23070.1280"
""	""	""	" 103.0557"	""	""	"243.81600"	""	""	""	""	""	""	""	""	""	""	""	""	"      0.0000"	"    793.1867"	"   1040.5517"	"   1225.4045"	"   2398.2351"	"   1860.7567"	"   1767.0997"	"   1846.9486"	"   1466.1833"	"   1492.1067"	"   1681.3095"	"   1405.2467"	"   1933.6185"	"   2192.2036"	"   1935.4583"	"   1855.8292"
""	""	""	" 104.1054"	""	""	" 27.19752"	""	""	""	""	""	""	""	""	""	""	""	""	" 258053.6118"	" 257003.9718"	" 241653.7215"	" 247250.1309"	" 186213.3520"	" 245296.2625"	" 243926.3909"	" 235836.7471"	" 244903.8682"	" 254791.8076"	" 226002.2527"	" 211967.9610"	" 197401.8774"	" 241633.2039"	" 250985.3808"	" 235762.6561"
""	""	""	" 104.1054"	""	""	" 50.69202"	""	""	""	""	""	""	""	""	""	""	""	""	"  59543.9419"	"  77140.3328"	"  62287.0577"	"  66411.3338"	"  58804.9688"	" 149910.7118"	"  73882.3743"	"  77088.0733"	"  52583.2999"	"  61547.8413"	"  62877.4258"	"  55315.7995"	"  54406.6168"	"  57938.0190"	"  43883.9353"	"  50236.1308"
""	""	""	" 105.0315"	""	""	"394.74150"	""	""	""	""	""	""	""	""	""	""	""	""	"   5485.2175"	"   4125.2788"	"   5498.3894"	"   4273.2183"	"   6036.4882"	"   5075.0897"	"   4436.7096"	"   5436.7121"	"  12461.6301"	"  12369.1642"	"  13575.0334"	"  13190.9495"	"  13155.7448"	"  12315.0920"	"  11511.2546"	"  11351.9112"
""	""	""	" 105.1085"	""	""	" 27.42198"	""	""	""	""	""	""	""	""	""	""	""	""	"  14944.2859"	"  13755.8808"	"  13005.5541"	"  15630.2966"	"  13310.2928"	"  12727.1295"	"  15240.4207"	"  14647.9177"	"  13821.4767"	"  15299.7117"	"  12829.6306"	"  11577.0894"	"  10152.6914"	"  12935.2410"	"  12368.0661"	"  10525.1213"
""	""	""	" 107.0478"	""	""	" 73.90380"	""	""	""	""	""	""	""	""	""	""	""	""	"    578.6536"	"    609.0574"	"    590.1055"	"    474.1632"	"   5243.7052"	"   5172.0343"	"   6093.5777"	"   5460.2564"	"    883.4026"	"    597.5155"	"    490.7441"	"    856.3899"	"   2792.8455"	"   3137.7384"	"   4391.3151"	"   4157.5517"
